PLAYER NAME|CLUB|LEAGUE|POS|OVR|PAC|SHO|PAS|DRI|DEF|PHY
Marcelo|Real Madrid|LaLiga Santander|ST|97|96|94|95|98|90|88
Heung Min Son|Spurs|Premier League|ST|97|97|97|93|96|52|82
Rafael Leão|Milan|Serie A TIM|LW|97|99|95|90|98|47|90
Kylian Mbappé|Paris SG|Ligue 1 Uber Eats|ST|97|99|96|90|99|44|89
Lionel Messi|Paris SG|Ligue 1 Uber Eats|RW|97|92|96|97|99|38|74
Luka Modrić|Real Madrid|LaLiga Santander|CM|97|90|90|98|97|86|86
Robert Lewandowski|FC Bayern München|Bundesliga|ST|97|92|97|86|94|49|94
Joshua Kimmich|FC Bayern München|Bundesliga|CDM|97|88|84|97|93|95|93
Mohamed Salah|Liverpool|Premier League|RW|97|98|97|94|98|52|86
Cristiano Ronaldo|Manchester Utd|Premier League|ST|97|94|99|88|95|39|91
Zinedine Zidane|Icons|Icons|CAM|97|86|93|98|98|76|88
Ronaldo|Icons|Icons|ST|97|98|97|83|97|46|79
Diego Maradona|Icons|Icons|CAM|97|92|93|92|97|40|76
Kylian Mbappé|Paris SG|Ligue 1 Uber Eats|ST|97|99|95|90|98|44|88
Cristiano Ronaldo|Manchester Utd|Premier League|ST|97|93|98|88|95|39|92
Rúben Dias|Manchester City|Premier League|CB|97|87|50|84|81|97|96
Jorginho|Chelsea|Premier League|CM|97|93|91|95|97|91|93
Paul Pogba|Piemonte Calcio|Serie A TIM|CM|96|98|96|91|95|59|98
Darwin Núñez|Liverpool|Premier League|ST|96|99|96|93|99|71|88
Gelson Martins|AS Monaco|Ligue 1 Uber Eats|RM|96|95|96|94|98|60|81
Antoine Griezmann|Atlético de Madrid|LaLiga Santander|ST|96|90|96|93|97|87|96
Kevin-Prince Boateng|Hertha Berlin|Bundesliga|CAM|96|99|91|92|93|93|97
Ferland Mendy|Real Madrid|LaLiga Santander|CM|96|94|91|96|98|91|90
Nicolò Barella|Inter|Serie A TIM|CM|96|99|92|96|97|47|81
Ferran Torres|FC Barcelona|LaLiga Santander|RW|96|99|94|96|98|38|82
Kingsley Coman|FC Bayern München|Bundesliga|LM|96|97|92|94|98|60|83
Joe Cole|England Premier League|Premier League|CAM|96|97|93|95|96|58|83
Marco Reus|Borussia Dortmund|Bundesliga|RW|96|99|93|92|96|50|84
Leroy Sané|FC Bayern München|Bundesliga|CF|96|97|96|88|94|61|87
Jamie Vardy|Leicester City|Premier League|LW|96|89|86|92|94|96|93
Fernandinho|Manchester City|Premier League|CDM|96|97|95|90|93|90|91
Sergio Ramos|Paris SG|Ligue 1 Uber Eats|ST|96|99|95|91|96|50|88
Timo Werner|Chelsea|Premier League|RF|96|91|54|81|86|98|96
Giorgio Chiellini|Piemonte Calcio|Serie A TIM|CB|96|99|92|91|96|90|91
Alphonso Davies|FC Bayern München|Bundesliga|ST|96|98|95|93|99|45|75
Eden Hazard|Real Madrid|LaLiga Santander|CAM|96|97|93|95|98|47|60
Lorenzo Insigne|Napoli|Serie A TIM|LW|96|96|91|96|97|57|83
Ángel Di María|Paris SG|Ligue 1 Uber Eats|RW|96|96|98|86|92|48|91
Ciro Immobile|Latium|Serie A TIM|ST|96|95|96|96|99|48|78
Paulo Dybala|Piemonte Calcio|Serie A TIM|CF|96|98|95|96|99|50|84
Domenico Berardi|Sassuolo|Serie A TIM|RW|96|97|96|85|95|44|96
Dušan Vlahović|Piemonte Calcio|Serie A TIM|ST|96|96|90|91|99|42|70
Neymar Jr|Paris SG|Ligue 1 Uber Eats|LW|96|93|87|95|98|88|81
Pedri|FC Barcelona|LaLiga Santander|CM|96|99|92|93|99|45|87
Vinícius Jr.|Real Madrid|LaLiga Santander|LW|96|94|92|97|98|87|87
Christopher Nkunku|RB Leipzig|Bundesliga|CF|96|90|90|93|96|90|93
Jude Bellingham|Borussia Dortmund|Bundesliga|CM|96|92|97|93|92|53|92
Harry Kane|Spurs|Premier League|ST|96|87|71|80|81|98|94
Virgil van Dijk|Liverpool|Premier League|CB|96|88|92|98|95|76|88
Kevin De Bruyne|Manchester City|Premier League|CM|96|99|93|93|98|53|89
Sadio Mané|Liverpool|Premier League|LW|96|94|97|92|95|55|93
Luis Suárez|Atlético de Madrid|LaLiga Santander|ST|96|97|95|81|95|45|76
Ronaldo|Icons|Icons|ST|96|85|92|96|95|75|86
Zinedine Zidane|Icons|Icons|CAM|96|90|84|90|91|96|90
N'Golo Kanté|Chelsea|Premier League|CDM|96|86|92|98|93|80|88
Kevin De Bruyne|Manchester City|Premier League|CM|96|94|96|85|92|46|93
Romelu Lukaku|Chelsea|Premier League|ST|95|99|84|90|93|93|95
Jordan Amavi|OM|Ligue 1 Uber Eats|LB|95|99|91|95|98|52|81
Antony|Ajax|Eredivisie|RW|95|88|90|98|94|88|87
Toni Kroos|Real Madrid|LaLiga Santander|CM|95|95|97|91|95|50|90
Alassane Plea|M'gladbach|Bundesliga|ST|95|96|49|77|81|94|93
Maxence Lacroix|VfL Wolfsburg|Bundesliga|CB|95|95|95|86|93|47|96
Duván Zapata|Bergamo Calcio|Serie A TIM|ST|95|97|95|89|93|40|91
Jonathan David|LOSC Lille|Ligue 1 Uber Eats|ST|95|99|94|90|96|57|86
Djibril Sow|Frankfurt|Bundesliga|CM|95|99|95|91|96|45|87
Federico Chiesa|Piemonte Calcio|Serie A TIM|RW|95|93|91|94|96|89|91
Luis Díaz|Liverpool|Premier League|LM|95|92|90|93|93|94|95
Rodrigo Javier De Paul|Atlético de Madrid|LaLiga Santander|CM|95|99|74|90|91|92|95
Presnel Kimpembe|Paris SG|Ligue 1 Uber Eats|CDM|95|90|87|91|92|94|96
Kyle Walker|Manchester City|Premier League|CB|95|94|92|96|97|70|80
Matthijs de Ligt|Piemonte Calcio|Serie A TIM|CM|95|94|88|96|93|93|90
James Maddison|Leicester City|Premier League|RW|95|90|91|83|89|95|93
Trent Alexander-Arnold|Liverpool|Premier League|CM|95|98|86|91|92|93|93
Mario Gomez|Italy Serie A|Serie A TIM|CB|95|99|94|91|95|50|93
Federico Valverde|Real Madrid|LaLiga Santander|RWB|95|97|95|93|96|57|80
Adama Traoré|FC Barcelona|LaLiga Santander|CF|95|98|94|92|95|67|84
Stephan El Shaarawy|Roma FC|Serie A TIM|CAM|95|95|93|95|97|54|83
Silas|VfB Stuttgart|Bundesliga|CF|95|99|98|92|96|56|85
Jack Grealish|Manchester City|Premier League|CAM|95|97|92|96|98|70|85
Yannick Carrasco|Atlético de Madrid|LaLiga Santander|RW|95|99|95|90|93|44|83
Yannick Carrasco|Atlético de Madrid|LaLiga Santander|CAM|95|99|84|90|95|92|90
Pierre-Emerick Aubame...|FC Barcelona|LaLiga Santander|LW|95|99|90|94|96|91|90
Leonardo Spinazzola|Roma FC|Serie A TIM|CDM|95|94|96|88|95|57|93
Youcef Atal|OGC Nice|Ligue 1 Uber Eats|CM|95|88|88|98|96|60|84
Alexandre Lacazette|Arsenal|Premier League|ST|95|93|93|96|94|70|85
Carles Gil|New England|Major League Soccer|CAM|95|99|85|90|93|92|94
Oscar|Shanghai Port|Chinese Football Association Super League|CAM|95|91|36|75|83|97|96
Theo Hernández|Milan|Serie A TIM|LB|95|95|87|96|94|90|94
Kalidou Koulibaly|Napoli|Serie A TIM|CB|95|96|96|91|98|50|82
Sandro Tonali|Milan|Serie A TIM|CDM|95|91|61|85|87|97|91
Wissam Ben Yedder|AS Monaco|Ligue 1 Uber Eats|ST|95|95|91|91|98|52|82
Marquinhos|Paris SG|Ligue 1 Uber Eats|CB|95|90|60|82|86|96|95
João Félix|Atlético de Madrid|LaLiga Santander|CF|95|93|91|95|97|66|82
Éder Militão|Real Madrid|LaLiga Santander|CB|95|96|98|87|90|50|95
Florian Wirtz|Leverkusen|Bundesliga|CAM|95|85|48|83|80|96|94
Erling Haaland|Borussia Dortmund|Bundesliga|ST|95|95|95|91|94|50|79
Rúben Dias|Manchester City|Premier League|CB|95|96|86|92|94|92|91
Heung Min Son|Spurs|Premier League|LW|95|94|90|93|95|88|90
João Cancelo|Manchester City|Premier League|LB|95|87|65|77|70|98|85
Ryan Gravenberch|Ajax|Eredivisie|CM|95|92|94|92|98|43|75
Paolo Maldini|Icons|Icons|CB|95|94|93|92|98|39|82
Johan Cruyff|Icons|Icons|CF|95|93|98|93|96|47|78
Ronaldinho|Icons|Icons|LW|95|92|89|96|97|42|73
Ferenc Puskás|Icons|Icons|ST|95|90|61|85|86|97|90
Garrincha|Icons|Icons|RW|95|99|92|88|96|42|84
Marquinhos|Paris SG|Ligue 1 Uber Eats|CB|95|88|91|90|95|42|75
Kylian Mbappé|Paris SG|Ligue 1 Uber Eats|ST|95|96|93|90|95|56|75
Diego Maradona|Icons|Icons|CAM|95|88|94|93|97|36|70
Pelé|Icons|Icons|CF|95|90|91|93|90|95|96
Lionel Messi|Paris SG|Ligue 1 Uber Eats|RW|95|94|94|93|96|58|81
Casemiro|Real Madrid|LaLiga Santander|CDM|94|96|94|87|94|40|92
Julian Brandt|Borussia Dortmund|Bundesliga|CAM|94|90|88|94|94|90|92
Thorgan Hazard|Borussia Dortmund|Bundesliga|LM|94|96|93|88|95|45|89
Tammy Abraham|Roma FC|Serie A TIM|ST|94|98|94|91|96|46|86
Jordan Veretout|Roma FC|Serie A TIM|CDM|94|97|82|91|94|91|92
Alexandre Pato|Orlando City|Major League Soccer|ST|94|90|92|96|97|89|88
Matheus Cunha|Atlético de Madrid|LaLiga Santander|CAM|94|94|93|92|95|53|84
Renan Lodi|Atlético de Madrid|LaLiga Santander|LB|94|93|91|96|97|87|81
Rafinha|Paris SG|Ligue 1 Uber Eats|CM|94|97|74|92|92|91|93
Kai Havertz|Chelsea|Premier League|CAM|94|94|95|89|96|57|82
Mason Mount|Chelsea|Premier League|CM|94|94|91|95|96|60|72
Reece James|Chelsea|Premier League|RWB|94|94|93|90|92|92|96
Ángel Correa|Atlético de Madrid|LaLiga Santander|ST|94|94|83|92|93|94|90
David Silva|Real Sociedad|LaLiga Santander|LW|94|93|70|90|84|94|96
Tim Cahill|England Premier League|Premier League|CDM|94|94|94|93|96|82|90
Ricardo Pereira|Leicester City|Premier League|LB|94|96|89|91|99|53|88
Chris Wood|Newcastle Utd|Premier League|ST|94|95|92|93|95|53|86
Clint Dempsey|USA Major League Soccer|Major League Soccer|LW|94|99|94|89|96|52|80
Giovanni Reyna|Borussia Dortmund|Bundesliga|LW|94|94|90|94|95|87|86
Freddie Ljungberg|USA Major League Soccer|Major League Soccer|CAM|94|98|85|90|91|93|91
Hirving Lozano|Napoli|Serie A TIM|ST|94|95|92|93|94|88|88
Raphaël Guerreiro|Borussia Dortmund|Bundesliga|CM|94|93|67|87|85|94|91
Raphaël Guerreiro|Borussia Dortmund|Bundesliga|RB|94|97|92|88|96|65|90
Jesús Corona|Sevilla FC|LaLiga Santander|CM|94|94|82|94|90|93|91
Kieran Tierney|Arsenal|Premier League|CB|94|92|60|83|84|94|90
Richarlison|Everton|Premier League|CAM|94|99|93|94|97|75|83
Andrew Robertson|Liverpool|Premier League|CDM|94|99|95|93|94|65|83
Pierre Kalulu|Milan|Serie A TIM|CB|94|96|95|92|94|66|85
Felipe Anderson|Latium|Serie A TIM|RW|94|99|88|93|91|92|95
Julián Álvarez|River Plate|CONMEBOL Libertadores|ST|94|91|83|95|90|95|94
Hany Mukhtar|Nashville SC|Major League Soccer|LF|94|85|88|93|97|88|95
James Tavernier|Rangers|cinch Premiership|RB|94|95|95|86|94|56|98
Marcelo Brozović|Inter|Serie A TIM|CDM|94|85|90|95|94|86|87
Sergej Milinković-Savić|Latium|Serie A TIM|CM|94|91|92|94|96|86|92
Deniz Undav|Union SG|1A Pro League|ST|94|88|87|92|92|92|97
Marek Hamšík|Trabzonspor|Süper Lig|CM|94|98|93|88|93|56|98
Lucas Paquetá|OL|Ligue 1 Uber Eats|CAM|94|88|83|91|91|96|88
Aurélien Tchouaméni|AS Monaco|Ligue 1 Uber Eats|CDM|94|82|90|96|91|68|82
Darwin Núñez|SL Benfica|Liga Portugal|ST|94|87|87|96|94|90|87
David Alaba|Real Madrid|LaLiga Santander|CB|94|91|94|91|93|68|85
Kevin De Bruyne|Manchester City|Premier League|CAM|94|91|96|87|92|37|80
Éver Banega|Al Shabab|MBS Pro League|CM|94|94|94|82|91|40|98
Thomas Müller|FC Bayern München|Bundesliga|CAM|94|84|92|88|94|44|85
Cristiano Ronaldo|Manchester Utd|Premier League|ST|94|88|92|92|95|82|90
Aleksandar Mitrović|Fulham|EFL Championship|ST|94|88|90|94|98|65|79
Karim Benzema|Real Madrid|LaLiga Santander|CF|94|90|57|81|82|94|93
Dele Alli|Everton|Premier League|CAM|94|96|90|93|96|60|72
Bernardo Silva|Manchester City|Premier League|CM|94|99|91|86|95|39|84
Aymeric Laporte|Manchester City|Premier League|CB|94|99|92|89|96|44|74
Abedi Ayew|France Ligue 1|Ligue 1 Uber Eats|CAM|94|84|84|96|95|73|73
Marcelo|Real Madrid|LaLiga Santander|LB|94|79|49|69|60|96|92
Kylian Mbappé|Paris SG|Ligue 1 Uber Eats|ST|94|95|93|86|98|59|73
Ousmane Dembélé|FC Barcelona|LaLiga Santander|ST|94|88|95|92|90|84|92
Xavi|Icons|Icons|CM|94|80|50|79|74|97|85
Carles Puyol|Icons|Icons|CB|94|96|96|85|93|54|81
George Best|Icons|Icons|RW|94|99|91|86|95|39|84
Ruud Gullit|Icons|Icons|CF|94|94|59|87|91|93|88
Franco Baresi|Icons|Icons|CB|94|86|89|97|90|73|83
Thierry Henry|Icons|Icons|ST|94|91|96|91|95|54|93
Kylian Mbappé|Paris SG|Ligue 1 Uber Eats|ST|94|91|96|91|92|46|76
Cafú|Icons|Icons|RWB|94|90|87|94|96|41|68
David Beckham|Icons|Icons|RM|94|92|79|83|88|92|89
Eric Cantona|Icons|Icons|CF|94|95|98|87|95|46|80
Ferenc Puskás|Icons|Icons|CF|94|91|92|91|86|91|86
Garrincha|Icons|Icons|RW|94|86|97|78|91|40|78
Carlos Alberto|Icons|Icons|RB|94|87|87|93|94|41|64
Eusébio|Icons|Icons|CF|94|86|56|75|69|96|83
Lothar Matthäus|Icons|Icons|CM|94|91|92|91|94|42|73
Marco van Basten|Icons|Icons|ST|94|92|90|91|95|37|81
Roberto Baggio|Icons|Icons|CAM|94|95|93|90|95|51|84
Paolo Maldini|Icons|Icons|CB|94|90|95|86|92|37|81
Johan Cruyff|Icons|Icons|CF|94|82|94|82|89|46|84
Ronaldinho|Icons|Icons|LW|94|95|93|90|95|51|84
Mohamed Salah|Liverpool|Premier League|RW|94|95|85|91|93|90|87
Cristiano Ronaldo|Manchester Utd|Premier League|ST|94|86|93|92|96|35|68
Robert Lewandowski|FC Bayern München|Bundesliga|ST|94|82|90|93|92|72|83
Mohamed Salah|Liverpool|Premier League|RW|94|93|93|80|93|46|80
João Cancelo|Manchester City|Premier League|LB|94|96|85|90|92|90|93
Lionel Messi|Paris SG|Ligue 1 Uber Eats|RW|94|92|61|82|85|90|93
Zinedine Zidane|Icons|Icons|CAM|94|96|93|88|94|56|89
Ronaldo|Icons|Icons|ST|94|99|65|86|90|90|93
Maxwel Cornet|Burnley|Premier League|LB|93|96|91|89|95|83|85
Tiago Djaló|LOSC Lille|Ligue 1 Uber Eats|CB|93|95|82|91|95|91|88
Ivan Cavaleiro|Fulham|EFL Championship|ST|93|97|80|90|92|92|91
Kevin Mbabu|VfL Wolfsburg|Bundesliga|RB|93|95|89|91|96|90|89
Gerson|OM|Ligue 1 Uber Eats|LW|93|96|82|89|91|91|92
Amadou Haidara|RB Leipzig|Bundesliga|RB|93|90|94|93|91|49|90
Thomas Delaine|FC Metz|Ligue 1 Uber Eats|CDM|93|84|79|94|94|95|94
Alexis Claude-Maurice|OGC Nice|Ligue 1 Uber Eats|LB|93|96|93|91|95|86|82
Lucas Martínez Quarta|Fiorentina|Serie A TIM|RB|93|90|79|84|86|92|95
Fernando Morientes Sá...|Spain Primera División|LaLiga Santander|CAM|93|90|75|84|87|93|94
Felipe|Atlético de Madrid|LaLiga Santander|CDM|93|92|83|86|89|90|93
Bartra|Real Betis|LaLiga Santander|LW|93|98|86|93|96|91|89
Kevin Volland|AS Monaco|Ligue 1 Uber Eats|CB|93|97|93|87|95|56|91
Emre Can|Borussia Dortmund|Bundesliga|CB|93|95|91|89|93|48|82
Emerson|Spurs|Premier League|CM|93|88|85|96|93|93|90
Roberto Pereyra|Udinese|Serie A TIM|LWB|93|95|93|94|94|67|77
Marcus Thuram|M'gladbach|Bundesliga|ST|93|95|71|87|91|93|92
Jeremiah St. Juste|1. FSV Mainz 05|Bundesliga|RW|93|87|87|96|94|50|82
Nicolas Pépé|Arsenal|Premier League|ST|93|96|92|93|94|40|74
Mark Noble|West Ham|Premier League|CM|93|95|95|86|93|50|95
Junior Sornoza|Independiente DV|CONMEBOL Libertadores|LF|93|99|92|90|93|76|93
Marcel Schmelzer|Borussia Dortmund|Bundesliga|LB|93|89|86|90|92|93|94
Juan Mata|Manchester Utd|Premier League|CAM|93|85|87|96|97|76|76
Gianluca Caprari|Hellas Verona|Serie A TIM|LF|93|99|86|88|97|90|87
Valentin Castellanos|New York City FC|Major League Soccer|ST|93|92|92|95|93|85|90
Craig Goodwin|Adelaide United|A-League|LM|93|88|93|94|92|85|90
Franck Yannick Kessié|Milan|Serie A TIM|CDM|93|98|92|92|93|58|78
Hakan Çalhanoğlu|Inter|Serie A TIM|CM|93|87|84|94|95|90|87
Juan Cuadrado|Piemonte Calcio|Serie A TIM|RB|93|93|92|96|95|51|84
Benjamin Bourigeaud|Stade Rennais FC|Ligue 1 Uber Eats|RM|93|99|73|88|90|92|87
Hans Vanaken|Club Brugge|1A Pro League|CM|93|92|95|89|93|45|82
Edin Višća|Trabzonspor|Süper Lig|RW|93|93|94|87|94|52|88
Marco Verratti|Paris SG|Ligue 1 Uber Eats|CM|93|96|90|91|95|60|85
Dimitri Payet|OM|Ligue 1 Uber Eats|CF|93|92|89|94|96|65|82
Nuno Mendes|Paris SG|Ligue 1 Uber Eats|LB|93|93|92|92|96|47|91
Iago Aspas|RC Celta|LaLiga Santander|ST|93|91|55|75|87|95|90
Mehdi Taremi|FC Porto|Liga Portugal|ST|93|94|91|96|94|85|86
Arnaut Danjuma|Villarreal CF|LaLiga Santander|LW|93|92|94|92|95|63|86
Isco|Real Madrid|LaLiga Santander|CAM|93|92|94|84|90|51|92
Nabil Fekir|Real Betis|LaLiga Santander|CAM|93|84|86|92|91|93|92
Jules Koundé|Sevilla FC|LaLiga Santander|CB|93|99|85|87|93|89|88
Canales|Real Betis|LaLiga Santander|RM|93|95|94|92|90|60|78
Anderson Talisca|Al Nassr|MBS Pro League|CF|93|84|93|95|93|77|84
Anthony Modeste|1. FC Köln|Bundesliga|ST|93|91|40|83|83|93|90
Axel Witsel|Borussia Dortmund|Bundesliga|CDM|93|90|95|85|91|36|78
Alphonso Davies|FC Bayern München|Bundesliga|LB|93|81|91|87|92|43|84
Harry Wilson|Fulham|EFL Championship|RM|93|92|94|85|93|55|89
Bruno Fernandes|Manchester Utd|Premier League|CM|93|87|83|94|90|87|92
Joe Gomez|Liverpool|Premier League|CB|93|91|95|82|88|48|91
Cristiano Ronaldo|Manchester Utd|Premier League|ST|93|94|95|91|95|52|77
Karim Benzema|Real Madrid|LaLiga Santander|CF|93|93|94|84|92|48|86
Alexandre Lacazette|Arsenal|Premier League|ST|93|92|91|92|93|55|79
Jordan Henderson|Liverpool|Premier League|CDM|93|93|87|88|96|39|67
Mario Gomez|Germany 1. Bundesliga|Bundesliga|ST|93|76|94|87|88|50|86
Antonio Di Natale|Italy Serie A|Serie A TIM|ST|93|96|95|83|93|49|84
Diego Milito|Italy Serie A|Serie A TIM|ST|93|80|88|95|95|34|72
Marco Reus|Borussia Dortmund|Bundesliga|CF|93|86|92|90|92|38|79
Neymar Jr|Paris SG|Ligue 1 Uber Eats|LW|93|90|93|75|90|38|78
Harry Kane|Spurs|Premier League|ST|93|95|93|83|94|43|71
Samuel Eto'o|Icons|Icons|ST|93|78|65|88|79|96|86
Juan Román Riquelme|Icons|Icons|CAM|93|81|44|68|70|96|88
Dennis Bergkamp|Icons|Icons|CF|93|89|73|89|87|91|84
Gary Lineker|Icons|Icons|ST|93|88|94|76|88|39|83
Emilio Butragueño|Icons|Icons|ST|93|89|95|90|95|46|80
Bobby Moore|Icons|Icons|CB|93|97|92|88|90|50|87
Hristo Stoichkov|Icons|Icons|ST|93|92|82|90|93|88|83
Alessandro Nesta|Icons|Icons|CB|93|92|93|93|96|45|71
Javier Zanetti|Icons|Icons|RB|93|90|95|85|91|57|90
Ruud van Nistelrooy|Icons|Icons|ST|93|87|88|92|88|87|88
Rivaldo|Icons|Icons|CAM|93|92|95|79|92|42|75
Marcus Rashford|Manchester Utd|Premier League|LM|93|82|83|96|93|73|69
Dani Alves|FC Barcelona|LaLiga Santander|RB|93|93|95|83|93|46|78
Paulo Dybala|Piemonte Calcio|Serie A TIM|CF|93|82|91|91|82|93|88
Wayne Rooney|Icons|Icons|ST|93|87|95|91|95|46|70
Bastian Schweinsteiger|Icons|Icons|RM|93|90|94|84|92|48|76
Kenny Dalglish|Icons|Icons|ST|93|93|91|91|95|42|82
Andrea Pirlo|Icons|Icons|CM|93|86|88|92|91|71|85
Hugo Sánchez|Icons|Icons|ST|93|84|44|65|71|97|89
Ronald Koeman|Icons|Icons|CB|93|92|81|94|92|46|69
Alessandro Del Piero|Icons|Icons|CF|93|94|94|86|93|45|79
Raúl|Icons|Icons|CF|93|89|89|90|82|90|85
Luís Figo|Icons|Icons|RM|93|93|91|84|94|58|71
Clarence Seedorf|Icons|Icons|LM|93|86|91|91|89|82|90
Fabio Cannavaro|Icons|Icons|CB|93|83|94|76|89|39|75
Ryan Giggs|Icons|Icons|LM|93|89|93|90|93|53|92
Eusébio|Icons|Icons|CF|93|90|66|81|86|90|87
Lothar Matthäus|Icons|Icons|CM|93|70|49|76|72|95|82
George Best|Icons|Icons|RW|93|81|80|95|93|72|72
Ruud Gullit|Icons|Icons|CF|93|92|58|85|88|91|86
Marco van Basten|Icons|Icons|ST|93|94|91|83|90|53|80
Eric Cantona|Icons|Icons|CF|93|86|84|92|92|40|61
Carlos Alberto|Icons|Icons|RB|93|80|88|95|90|67|81
Franco Baresi|Icons|Icons|CB|93|88|85|88|93|88|91
Xavi|Icons|Icons|CM|93|99|90|84|94|38|81
Cafú|Icons|Icons|RWB|93|90|94|89|91|51|90
Thierry Henry|Icons|Icons|ST|93|81|70|81|86|90|87
Roberto Baggio|Icons|Icons|CAM|93|88|94|87|88|51|86
Kevin De Bruyne|Manchester City|Premier League|CM|93|96|88|87|93|48|84
Jude Bellingham|Borussia Dortmund|Bundesliga|CM|93|90|84|93|95|85|78
Kylian Mbappé|Paris SG|Ligue 1 Uber Eats|ST|93|99|80|88|91|90|90
Luis Suárez|Atlético de Madrid|LaLiga Santander|ST|93|83|64|78|78|95|90
N'Golo Kanté|Chelsea|Premier League|CM|93|80|93|81|87|45|83
Harry Kane|Spurs|Premier League|ST|93|93|87|88|96|39|66
Sadio Mané|Liverpool|Premier League|CAM|93|80|94|80|88|45|83
Pedri|FC Barcelona|LaLiga Santander|CM|93|80|88|95|91|67|82
Achraf Hakimi|Paris SG|Ligue 1 Uber Eats|RB|93|85|92|91|95|34|65
Virgil van Dijk|Liverpool|Premier League|CB|93|93|95|85|91|40|90
Robert Lewandowski|FC Bayern München|Bundesliga|ST|93|93|91|94|95|86|89
Neymar Jr|Paris SG|Ligue 1 Uber Eats|ST|93|92|94|90|92|91|93
Robert Lewandowski|FC Bayern München|Bundesliga|ST|93|88|84|90|92|92|92
Kevin De Bruyne|Manchester City|Premier League|CAM|93|92|80|90|91|90|92
Lionel Messi|Paris SG|Ligue 1 Uber Eats|RW|93|96|83|91|92|89|90
Gonzalo Higuaín|Inter Miami CF|Major League Soccer|ST|92|89|70|80|85|93|94
Daniel James|Leeds United|Premier League|RB|92|97|65|91|92|88|86
Presnel Kimpembe|Paris SG|Ligue 1 Uber Eats|CAM|92|93|60|82|86|92|91
Pepe|FC Porto|Liga Portugal|ST|92|95|93|85|93|55|90
Jürgen Kohler|Germany 1. Bundesliga|Bundesliga|CDM|92|90|92|92|88|90|87
Cucurella|Brighton|Premier League|LWB|92|98|95|85|92|58|91
Thiago Mendes|OL|Ligue 1 Uber Eats|RB|92|94|92|88|93|41|79
Marko Arnautović|Bologna|Serie A TIM|CB|92|88|81|95|92|80|86
Héctor Bellerín|Real Betis|LaLiga Santander|LB|92|91|90|94|93|85|87
Nordi Mukiele|RB Leipzig|Bundesliga|CB|92|86|89|96|90|87|97
Darío Benedetto|Boca Juniors|CONMEBOL Libertadores|ST|92|97|95|85|95|46|93
Sebastián Rodríguez|CS Emelec|CONMEBOL Sudamericana|CM|92|95|93|80|92|56|91
Victor Osimhen|Napoli|Serie A TIM|ST|92|88|48|74|80|93|91
Deulofeu|Udinese|Serie A TIM|CF|92|70|51|62|65|84|84
João Paulo|Sounders FC|Major League Soccer|CM|92|95|93|90|92|70|85
